episode,reward_agent_0,red_coins,blue_coins
317,13.0,6,7
318,10.0,7,3
319,18.0,8,10
320,14.0,6,8
321,20.0,11,9
322,14.0,4,10
323,11.0,5,6
324,14.0,5,9
325,12.0,9,3
326,11.0,5,6
327,22.0,8,14
328,14.0,6,8
329,13.0,4,9
330,10.0,3,7
331,11.0,6,5
332,11.0,3,8
333,14.0,6,8
334,14.0,6,8
335,12.0,4,8
336,10.0,5,5
337,18.0,7,11
338,19.0,8,11
339,23.0,16,7
340,18.0,9,9
341,14.0,6,8
342,17.0,13,4
343,19.0,7,12
344,19.0,10,9
345,15.0,8,7
346,11.0,4,7
347,13.0,4,9
348,13.0,6,7
349,14.0,8,6
350,22.0,9,13
351,12.0,4,8
352,13.0,5,8
353,22.0,12,10
354,12.0,7,5
355,13.0,6,7
356,11.0,2,9
357,19.0,10,9
358,16.0,9,7
359,14.0,4,10
360,17.0,10,7
361,19.0,9,10
362,13.0,7,6
363,15.0,6,9
364,17.0,7,10
365,18.0,12,6
366,12.0,5,7
367,18.0,6,12
368,13.0,6,7
369,10.0,7,3
370,15.0,7,8
371,15.0,9,6
372,18.0,9,9
373,14.0,3,11
374,10.0,6,4
375,15.0,6,9
376,17.0,8,9
377,20.0,8,12
378,16.0,6,10
379,19.0,11,8
380,17.0,8,9
381,12.0,9,3
382,15.0,9,6
383,17.0,5,12
384,15.0,8,7
385,10.0,4,6
386,18.0,8,10
387,15.0,10,5
388,13.0,4,9
389,11.0,6,5
390,13.0,6,7
391,21.0,10,11
392,15.0,9,6
393,10.0,5,5
394,13.0,4,9
395,12.0,5,7
396,18.0,9,9
397,11.0,4,7
398,14.0,10,4
399,11.0,4,7
400,27.0,13,14
401,10.0,6,4
402,10.0,8,2
403,18.0,10,8
404,18.0,9,9
405,10.0,3,7
406,8.0,6,2
407,11.0,4,7
408,18.0,9,9
409,14.0,7,7
410,13.0,8,5
411,13.0,5,8
412,18.0,11,7
413,11.0,7,4
414,20.0,7,13
415,18.0,7,11
416,7.0,2,5
417,12.0,7,5
418,14.0,8,6
419,14.0,8,6
420,16.0,12,4
421,18.0,10,8
422,13.0,6,7
423,17.0,9,8
424,10.0,5,5
425,15.0,9,6
426,14.0,7,7
427,10.0,4,6
428,17.0,8,9
429,14.0,9,5
430,23.0,10,13
431,16.0,9,7
432,21.0,11,10
433,15.0,8,7
434,16.0,6,10
435,9.0,4,5
436,21.0,9,12
437,20.0,9,11
438,16.0,10,6
439,16.0,8,8
440,21.0,10,11
441,17.0,11,6
442,14.0,8,6
443,13.0,7,6
444,12.0,7,5
445,15.0,8,7
446,19.0,8,11
447,18.0,8,10
448,15.0,8,7
449,8.0,2,6
450,18.0,10,8
451,19.0,8,11
452,18.0,10,8
453,17.0,12,5
454,8.0,4,4
455,17.0,7,10
456,16.0,11,5
457,13.0,5,8
458,15.0,7,8
459,13.0,8,5
460,18.0,11,7
461,15.0,11,4
462,25.0,11,14
463,14.0,7,7
464,15.0,6,9
465,14.0,4,10
466,14.0,8,6
467,20.0,8,12
468,16.0,6,10
469,17.0,6,11
470,13.0,7,6
471,15.0,7,8
472,11.0,8,3
473,16.0,7,9
474,19.0,11,8
475,12.0,5,7
476,20.0,11,9
477,17.0,7,10
478,14.0,9,5
479,12.0,9,3
480,12.0,4,8
481,14.0,6,8
482,7.0,4,3
483,14.0,10,4
484,11.0,3,8
485,14.0,11,3
486,15.0,10,5
487,11.0,5,6
488,17.0,12,5
489,15.0,9,6
490,17.0,9,8
491,10.0,6,4
492,12.0,6,6
493,6.0,2,4
494,13.0,8,5
495,14.0,9,5
496,18.0,4,14
497,20.0,9,11
498,19.0,11,8
499,20.0,7,13
500,14.0,7,7
501,24.0,10,14
502,19.0,15,4
503,20.0,11,9
504,9.0,5,4
505,22.0,8,14
506,12.0,6,6
507,18.0,9,9
508,22.0,13,9
509,12.0,6,6
510,14.0,6,8
511,14.0,7,7
512,9.0,3,6
513,13.0,8,5
514,13.0,5,8
515,13.0,10,3
516,19.0,11,8
517,17.0,7,10
518,17.0,8,9
519,18.0,6,12
520,14.0,6,8
521,16.0,7,9
522,20.0,10,10
523,11.0,6,5
524,15.0,5,10
525,18.0,7,11
526,17.0,7,10
527,14.0,7,7
528,10.0,6,4
529,14.0,6,8
530,13.0,7,6
531,16.0,7,9
532,21.0,9,12
533,19.0,8,11
534,12.0,8,4
535,15.0,5,10
536,14.0,5,9
537,10.0,2,8
538,16.0,7,9
539,15.0,3,12
540,16.0,7,9
541,11.0,8,3
542,20.0,8,12
543,22.0,9,13
544,15.0,7,8
545,15.0,8,7
546,16.0,7,9
547,19.0,11,8
548,11.0,7,4
549,22.0,10,12
550,19.0,9,10
551,15.0,9,6
552,11.0,5,6
