episode,reward_agent_0,reward_agent_1,a0_red_coins,a0_blue_coins,a1_red_coins,a1_blue_coins
170,11.0,7.0,17,6,11,18
171,15.0,6.0,23,8,14,20
172,17.0,6.0,22,5,10,16
173,7.0,6.0,18,11,8,14
174,2.0,13.0,9,7,10,23
175,2.0,15.0,14,12,8,23
176,13.0,3.0,19,6,13,16
177,4.0,14.0,12,8,7,21
178,8.0,7.0,19,11,12,19
179,0.0,8.0,16,16,11,19
180,5.0,12.0,12,7,9,21
181,14.0,3.0,21,7,11,14
182,4.0,9.0,15,11,10,19
183,-8.0,17.0,6,14,6,23
184,1.0,5.0,11,10,11,16
185,5.0,9.0,16,11,11,20
186,0.0,6.0,7,7,12,18
187,-2.0,11.0,12,14,10,21
188,0.0,8.0,11,11,13,21
189,13.0,9.0,19,6,9,18
190,9.0,1.0,17,8,12,13
191,8.0,6.0,15,7,11,17
192,3.0,2.0,13,10,14,16
193,2.0,9.0,13,11,6,15
194,4.0,14.0,15,11,7,21
195,3.0,7.0,12,9,8,15
196,4.0,19.0,16,12,7,26
197,1.0,8.0,12,11,10,18
198,7.0,13.0,16,9,5,18
199,9.0,6.0,12,3,11,17
200,11.0,5.0,19,8,12,17
201,8.0,11.0,14,6,8,19
202,4.0,7.0,16,12,17,24
203,-5.0,10.0,13,18,6,16
204,9.0,11.0,18,9,8,19
205,8.0,12.0,15,7,9,21
206,9.0,2.0,19,10,15,17
207,13.0,0.0,21,8,15,15
208,6.0,8.0,14,8,11,19
209,5.0,8.0,12,7,11,19
210,19.0,9.0,28,9,7,16
211,-2.0,10.0,15,17,11,21
212,14.0,6.0,21,7,12,18
213,12.0,9.0,19,7,6,15
214,11.0,15.0,18,7,7,22
215,10.0,11.0,21,11,10,21
216,14.0,3.0,21,7,8,11
217,13.0,13.0,21,8,1,14
218,6.0,1.0,18,12,10,11
219,6.0,1.0,20,14,10,11
220,3.0,9.0,14,11,8,17
221,18.0,17.0,23,5,3,20
222,8.0,11.0,17,9,10,21
223,8.0,16.0,15,7,8,24
224,15.0,9.0,25,10,11,20
225,9.0,12.0,16,7,11,23
226,8.0,12.0,18,10,7,19
227,12.0,13.0,20,8,8,21
228,-3.0,17.0,13,16,7,24
229,11.0,8.0,16,5,9,17
230,6.0,10.0,15,9,9,19
231,8.0,11.0,17,9,8,19
232,11.0,7.0,20,9,13,20
233,9.0,9.0,20,11,7,16
234,13.0,6.0,22,9,10,16
235,9.0,9.0,17,8,9,18
236,11.0,8.0,20,9,9,17
237,7.0,2.0,16,9,11,13
238,8.0,10.0,18,10,8,18
239,10.0,6.0,17,7,11,17
240,10.0,11.0,19,9,6,17
241,7.0,6.0,15,8,10,16
242,2.0,16.0,16,14,7,23
243,8.0,14.0,18,10,6,20
244,7.0,11.0,11,4,3,14
245,10.0,16.0,17,7,8,24
246,16.0,9.0,23,7,9,18
247,6.0,6.0,14,8,10,16
248,10.0,20.0,19,9,6,26
249,12.0,-1.0,14,2,10,9
250,2.0,16.0,14,12,10,26
251,14.0,11.0,18,4,9,20
252,4.0,1.0,14,10,15,16
253,14.0,14.0,20,6,3,17
254,3.0,3.0,19,16,13,16
255,11.0,20.0,18,7,6,26
256,9.0,17.0,17,8,6,23
257,5.0,11.0,15,10,8,19
258,1.0,10.0,13,12,11,21
259,16.0,11.0,22,6,7,18
260,8.0,10.0,22,14,5,15
261,-4.0,13.0,14,18,12,25
262,0.0,9.0,15,15,10,19
263,4.0,9.0,16,12,8,17
264,11.0,5.0,17,6,11,16
265,10.0,8.0,24,14,12,20
266,14.0,10.0,22,8,8,18
267,15.0,2.0,25,10,13,15
268,7.0,18.0,14,7,7,25
269,5.0,16.0,13,8,7,23
270,13.0,17.0,17,4,8,25
271,13.0,8.0,18,5,7,15
272,12.0,2.0,20,8,14,16
273,19.0,9.0,23,4,11,20
274,6.0,10.0,18,12,6,16
275,16.0,17.0,19,3,8,25
276,5.0,7.0,17,12,12,19
277,11.0,20.0,18,7,9,29
278,3.0,5.0,13,10,12,17
279,7.0,7.0,16,9,11,18
280,17.0,7.0,23,6,4,11
281,10.0,14.0,19,9,7,21
282,0.0,5.0,16,16,13,18
283,6.0,11.0,16,10,10,21
284,7.0,0.0,19,12,15,15
285,13.0,9.0,20,7,6,15
286,5.0,6.0,13,8,12,18
287,9.0,13.0,19,10,10,23
288,4.0,9.0,14,10,11,20
289,11.0,11.0,16,5,10,21
290,12.0,8.0,20,8,12,20
291,18.0,10.0,22,4,6,16
292,9.0,17.0,19,10,9,26
293,16.0,14.0,23,7,5,19
294,16.0,5.0,19,3,10,15
295,14.0,13.0,20,6,9,22
