episode,reward_agent_0,red_coins,blue_coins
0,10.0,4,6
1,13.0,7,6
2,11.0,6,5
3,4.0,3,1
4,11.0,5,6
5,5.0,5,0
6,5.0,3,2
7,8.0,2,6
8,4.0,3,1
9,8.0,4,4
10,13.0,7,6
11,12.0,9,3
12,12.0,2,10
13,10.0,7,3
14,18.0,6,12
15,11.0,7,4
16,12.0,5,7
17,10.0,6,4
18,9.0,5,4
19,12.0,4,8
20,14.0,10,4
21,12.0,2,10
22,15.0,9,6
23,10.0,5,5
24,16.0,10,6
25,12.0,7,5
26,15.0,7,8
27,17.0,8,9
28,20.0,8,12
29,14.0,10,4
30,11.0,6,5
31,13.0,6,7
32,19.0,12,7
33,18.0,9,9
34,9.0,5,4
35,18.0,12,6
36,14.0,5,9
37,14.0,8,6
38,11.0,5,6
39,17.0,8,9
40,14.0,6,8
41,7.0,4,3
42,21.0,10,11
43,14.0,8,6
44,15.0,8,7
45,9.0,4,5
46,17.0,4,13
47,8.0,6,2
48,18.0,8,10
49,15.0,6,9
50,16.0,5,11
51,11.0,6,5
52,11.0,5,6
53,15.0,8,7
54,15.0,7,8
55,11.0,5,6
56,17.0,7,10
57,15.0,8,7
58,11.0,5,6
59,16.0,8,8
60,15.0,9,6
61,19.0,9,10
62,20.0,11,9
63,16.0,10,6
64,13.0,6,7
65,15.0,7,8
66,15.0,8,7
67,15.0,6,9
68,13.0,7,6
69,17.0,10,7
70,7.0,3,4
71,13.0,6,7
72,17.0,10,7
73,9.0,6,3
74,12.0,6,6
75,13.0,6,7
76,13.0,9,4
77,17.0,7,10
78,9.0,5,4
79,12.0,5,7
80,10.0,6,4
81,18.0,6,12
82,19.0,6,13
83,9.0,4,5
84,16.0,4,12
85,17.0,11,6
86,19.0,10,9
87,15.0,10,5
88,21.0,9,12
89,10.0,6,4
90,15.0,7,8
91,13.0,8,5
92,11.0,7,4
93,14.0,8,6
94,20.0,11,9
95,17.0,7,10
96,14.0,6,8
97,12.0,7,5
98,18.0,8,10
99,12.0,3,9
100,14.0,10,4
101,11.0,5,6
102,15.0,6,9
103,13.0,7,6
104,11.0,5,6
105,17.0,11,6
106,12.0,7,5
107,14.0,9,5
108,21.0,10,11
109,17.0,12,5
110,15.0,9,6
111,21.0,9,12
112,12.0,3,9
113,14.0,4,10
114,19.0,11,8
115,25.0,9,16
116,27.0,10,17
117,13.0,9,4
118,16.0,9,7
119,11.0,5,6
120,14.0,7,7
121,18.0,10,8
122,16.0,5,11
123,18.0,6,12
124,13.0,8,5
125,14.0,8,6
126,16.0,5,11
127,15.0,8,7
128,13.0,8,5
129,11.0,4,7
130,14.0,8,6
131,16.0,8,8
132,21.0,5,16
133,17.0,6,11
134,21.0,11,10
135,17.0,10,7
136,11.0,5,6
137,10.0,8,2
138,10.0,4,6
139,14.0,8,6
140,10.0,6,4
141,15.0,8,7
142,15.0,6,9
143,12.0,4,8
144,12.0,6,6
145,17.0,10,7
146,16.0,8,8
147,17.0,8,9
148,14.0,8,6
149,15.0,11,4
150,14.0,10,4
151,19.0,10,9
152,16.0,9,7
153,22.0,11,11
154,10.0,5,5
155,11.0,10,1
156,17.0,8,9
157,13.0,6,7
158,12.0,4,8
159,12.0,6,6
160,21.0,12,9
161,18.0,7,11
162,5.0,3,2
163,7.0,4,3
164,11.0,4,7
165,19.0,6,13
166,13.0,8,5
167,12.0,3,9
168,10.0,5,5
169,13.0,2,11
170,21.0,10,11
171,14.0,8,6
172,19.0,11,8
173,19.0,9,10
174,13.0,5,8
175,13.0,4,9
176,17.0,6,11
177,15.0,8,7
178,15.0,5,10
179,18.0,8,10
180,10.0,4,6
181,18.0,10,8
182,14.0,8,6
183,12.0,4,8
184,11.0,7,4
185,14.0,6,8
186,12.0,6,6
187,9.0,4,5
188,13.0,4,9
189,15.0,9,6
190,12.0,5,7
191,8.0,4,4
192,17.0,6,11
193,19.0,9,10
194,18.0,9,9
195,12.0,6,6
196,12.0,7,5
197,15.0,10,5
198,14.0,5,9
199,21.0,10,11
200,10.0,4,6
201,18.0,8,10
202,14.0,6,8
203,17.0,9,8
204,19.0,7,12
205,24.0,12,12
206,17.0,10,7
207,14.0,6,8
208,10.0,5,5
209,12.0,6,6
210,17.0,9,8
211,15.0,12,3
